Description Size Speed Range Firepower Cargo
Challenger 5 45 10 15 0
Avenger 10 25 20 15 10
Carrack 30 10 50 20 30
Constellation 22 25 36 15 20
Hawk 5 14 11 20 2
Hornet 10 25 15 20 5
Hurricane 10 25 15 26 3
Idris 40 10 35 50 30
Apollo 5 50 5 10 0
Merchantman 35 15 25 30 40
Orion 50 5 30 10 45
Sabre 10 35 10 25 3
Vanguard 15 21 26 25 11
Challenger 5 45 10 15 0
Avenger 10 25 20 15 10
Carrack 30 10 50 20 30
Constellation 22 25 36 15 20
Hawk 5 14 11 20 2
Hornet 10 25 15 20 5
Hurricane 10 25 15 26 3
Idris 40 10 35 50 30
Apollo 5 50 5 10 0
Merchantman 35 15 25 30 40
Orion 50 5 30 10 45
Sabre 10 35 10 25 3
Vanguard 15 21 26 25 11
Challenger 5 45 10 15 0
Avenger 10 25 20 15 10
Carrack 30 10 50 20 30
Constellation 22 25 36 15 20
Hawk 5 14 11 20 2
Hornet 10 25 15 20 5
Hurricane 10 25 15 26 3
Idris 40 10 35 50 30
Apollo 5 50 5 10 0
Merchantman 35 15 25 30 40
Orion 50 5 30 10 45
Sabre 10 35 10 25 3
Vanguard 15 21 26 25 11
Avenger 10 25 20 15 10
